,s,i,j,target,ijd,thisclose,lastclose,cd,en_pos,i_shift,j_shift,insert_or_delete
2468,.....((((((......((((((..............(..(...(.((...((.((......))))...)))..).)......)))))).))))))....,-42,-74,0,0.17647058823529413,0.25,0.125,1,0.5555555555555556,0,0,0
2469,.....((((((.......(((((..............(..((..(.((...((.((......))))...))).)).)......)))))..))))))....,-18,-89,0,0.35294117647058826,0.3125,0.125,1,0.6172839506172839,0,1,0
2470,.....((((((......((((((..............(..((..(.(....((.((......))))....)).)).)......)))))).))))))....,-48,-70,0,0.35294117647058826,0.25,0.125,1,0.6790123456790123,0,0,0
2471,.....((((((......((((((..............(..((..(.((...(..((......)).)...))).)).)......)))))).))))))....,-53,-65,0,0.47058823529411764,0.25,0.125,1,0.7160493827160493,0,1,0
2472,.....((((((......(((((...............(..((..(.((...((.((......))))...))).)).).......))))).))))))....,-23,-84,0,0.058823529411764705,0.3125,0.125,1,0.7530864197530864,1,0,0
2473,.....((((((......(.((((..............(..((..(.((...((.((......))))...))).)).)......)))).).))))))....,-19,-88,0,0.29411764705882354,0.375,0.125,0,0.8024691358024691,1,1,0
2474,.....((((((......((.(((..............(..((..(.((...((.((......))))...))).)).)......))).)).))))))....,-20,-87,0,0.23529411764705882,0.375,0.125,0,0.8148148148148149,1,1,0
2475,.....((((((......((((((..............(..((..(.((...((..(......).))...))).)).)......)))))).))))))....,-55,-64,0,0.5294117647058824,0.25,0.125,1,0.8148148148148149,0,0,0
2476,.....((((((......((((.(..............(..((..(.((...((.((......))))...))).)).)......).)))).))))))....,-22,-85,0,0.11764705882352941,0.375,0.125,0,0.8518518518518519,1,0,0
2477,.....((((((......((((((..............(..((..(..(...((.((......))))...).).)).)......)))))).))))))....,-47,-71,0,0.29411764705882354,0.1875,0.125,1,0.8765432098765431,0,0,0
2478,.....((((((......(((.((..............(..((..(.((...((.((......))))...))).)).)......)).))).))))))....,-21,-86,0,0.17647058823529413,0.375,0.125,0,1.0,1,0,0
2479,.....((((((......((((((.................((....((...((.((......))))...))..))........)))))).))))))....,-45,-72,0,0.1875,0.3333333333333333,0.13333333333333333,0,0.0,0,0,0
2480,.....((((((......((((((.................((..(.((....(.((......)))....))).))........)))))).))))))....,-52,-66,0,0.375,0.3333333333333333,0.13333333333333333,1,0.11864406779661016,0,1,0
2481,.....((((((......((((((.................((..(.((...((.(........)))...))).))........)))))).))))))....,-56,-63,0,0.5625,0.26666666666666666,0.13333333333333333,1,0.20338983050847456,0,0,0
2482,.....((((((......((((((..................(..(.((...((.((......))))...))).).........)))))).))))))....,-41,-75,1,0.0625,0.2,0.13333333333333333,1,0.3050847457627119,0,0,0
2483,.....((((((......((((((.................(...(.((...((.((......))))...)))..)........)))))).))))))....,-42,-74,0,0.125,0.2,0.13333333333333333,1,0.3898305084745763,0,0,0
2484,.....((((((.......(((((.................((..(.((...((.((......))))...))).))........)))))..))))))....,-18,-89,0,0.375,0.3333333333333333,0.13333333333333333,1,0.47457627118644063,0,1,0
2485,.....((((((......((((((.................((..(.(....((.((......))))....)).))........)))))).))))))....,-48,-70,0,0.3125,0.26666666666666666,0.13333333333333333,1,0.559322033898305,0,0,0
2486,.....((((((......((((((.................((..(.((...(..((......)).)...))).))........)))))).))))))....,-53,-65,0,0.4375,0.26666666666666666,0.13333333333333333,1,0.6101694915254238,0,1,0
2487,.....((((((......(((((..................((..(.((...((.((......))))...))).)).........))))).))))))....,-23,-84,0,0.0625,0.3333333333333333,0.13333333333333333,1,0.6610169491525424,1,0,0
2488,.....((((((......(.((((.................((..(.((...((.((......))))...))).))........)))).).))))))....,-19,-88,0,0.3125,0.4,0.13333333333333333,0,0.728813559322034,1,1,0
2489,.....((((((......((.(((.................((..(.((...((.((......))))...))).))........))).)).))))))....,-20,-87,0,0.25,0.4,0.13333333333333333,0,0.7457627118644068,1,1,0
2490,.....((((((......((((((.................((..(.((...((..(......).))...))).))........)))))).))))))....,-55,-64,0,0.5,0.26666666666666666,0.13333333333333333,1,0.7457627118644068,0,0,0
2491,.....((((((......((((.(.................((..(.((...((.((......))))...))).))........).)))).))))))....,-22,-85,0,0.125,0.4,0.13333333333333333,0,0.7966101694915254,1,0,0
2492,.....((((((......((((((.................((..(..(...((.((......))))...).).))........)))))).))))))....,-47,-71,0,0.25,0.2,0.13333333333333333,1,0.8305084745762712,0,0,0
2493,.....((((((......(((.((.................((..(.((...((.((......))))...))).))........)).))).))))))....,-21,-86,0,0.1875,0.4,0.13333333333333333,0,0.9999999999999999,1,0,0
2494,.....((((((......((((((.....................(.((...((.((......))))...)))...........)))))).))))))....,-42,-74,1,0.0625,0.13333333333333333,0.13333333333333333,0,0.0,0,0,0
2495,.....((((((......((((((..................(....((...((.((......))))...))..).........)))))).))))))....,-45,-72,0,0.125,0.26666666666666666,0.13333333333333333,0,0.32494279176201374,0,0,0
2496,.....((((((......((((((..................(..(.((....(.((......)))....))).).........)))))).))))))....,-52,-66,0,0.3125,0.3333333333333333,0.13333333333333333,1,0.4050343249427918,0,1,0
2497,.....((((((......((((((..................(..(.((...((.(........)))...))).).........)))))).))))))....,-56,-63,0,0.5,0.26666666666666666,0.13333333333333333,1,0.4622425629290618,0,0,0
2498,.....((((((......((((((..........(......)(..(.((...((.((......))))...))).).........)))))).))))))....,34,41,0,0.0625,0.06666666666666667,0.13333333333333333,0,0.6338672768878719,1,0,1
