,0,1,2,3,4,5,6,7,8
58,-38.4,108009,5.71136999130249,-38.4,41094,3.2978203296661377,-38.4,35617,3.0219955444335938
59,-36.6,69166,4.096955299377441,-36.6,28982,2.5597076416015625,-36.6,24569,2.412526845932007
60,-36.7,60537,4.63148045539856,-36.7,31300,3.2393524646759033,-36.7,27925,3.0354909896850586
61,-35.0,95157,4.945590019226074,-35.0,52725,3.4207746982574463,-35.9,49970,3.3397395610809326
62,-23.4,739738,53.98789668083191,-24.2,313518,29.297050714492798,-22.8,278573,26.580901384353638
63,-42.6,47818,1.7815043926239014,-42.6,32903,1.5244247913360596,-42.6,31365,1.505544662475586
64,-35.1,13029,0.5186636447906494,-35.1,8000,0.4104757308959961,-35.1,5101,0.3809514045715332
65,-28.9,62873,2.2143313884735107,-28.9,40634,1.8243865966796875,-28.4,23278,1.6242120265960693
66,-13.1,510029,44.5887131690979,-13.1,303897,29.086838483810425,-13.1,271720,27.90355658531189
67,-28.7,195963,8.388624668121338,-29.0,93398,5.325382709503174,-29.0,77544,4.473335027694702
68,-44.7,37034,2.190502882003784,-45.0,40337,2.0389978885650635,-45.0,35562,1.7873175144195557
69,-44.0,37554,2.5234456062316895,-44.0,25377,1.9556200504302979,-44.0,21509,1.7710933685302734
70,-47.4,59616,2.416856527328491,-47.4,43026,2.0331640243530273,-47.4,41357,2.003357410430908
71,-20.9,451904,37.50628304481506,-24.2,280343,25.054946422576904,-24.2,256412,24.08108425140381
72,-31.0,75470,5.552091598510742,-31.0,43407,3.7943599224090576,-31.0,41372,3.6471667289733887
73,-35.6,10845,0.36429333686828613,-35.6,6106,0.295490026473999,-35.6,5083,0.28676915168762207
74,-22.5,469266,27.824570655822754,-22.5,244117,17.358399629592896,-22.5,235256,16.942341089248657
75,-32.4,412990,33.42357397079468,-32.4,220431,20.826056003570557,-32.4,214385,20.519131660461426
76,-59.7,4153,0.28626465797424316,-59.7,3203,0.26197218894958496,-59.7,2927,0.2552673816680908
77,-17.7,229033,9.890493631362915,-17.7,122265,6.818196535110474,-17.7,116560,6.575473785400391
78,-45.0,8991,0.35997748374938965,-45.0,6740,0.3011631965637207,-44.4,5730,0.2810368537902832
79,-44.1,21540,0.7690727710723877,-44.1,12693,0.595700740814209,-44.1,12076,0.5776767730712891
80,-56.6,19009,0.7091014385223389,-56.6,14388,0.6321725845336914,-56.6,11582,0.5737719535827637
81,-43.2,276829,11.719334125518799,-43.2,150289,8.22671127319336,-43.2,142418,8.31092119216919
82,-28.9,360449,24.817251920700073,-28.1,169101,14.847793340682983,-28.1,146418,13.97580075263977
83,-27.72,732591,60.75876212120056,-27.72,369120,34.61400318145752,-29.0,339182,33.6064875125885
84,-33.5,47124,1.5817677974700928,-33.5,28454,1.2511727809906006,-33.5,24201,1.1335973739624023
85,-39.2,408041,32.097511529922485,-39.2,226392,20.179548978805542,-39.2,203291,19.2150661945343
86,-64.5,36059,1.6156952381134033,-64.5,16395,1.0292320251464844,-64.5,13286,0.9236361980438232
87,-40.4,36277,1.2175018787384033,-40.4,21473,0.9890456199645996,-40.4,19149,0.9134190082550049
88,-36.3,13442,0.6370222568511963,-36.3,6601,0.47109222412109375,-36.3,5375,0.43844103813171387
89,-44.0,55720,1.9771027565002441,-44.2,29054,1.4445691108703613,-44.2,14487,1.3128480911254883
90,-40.8,66015,2.5239803791046143,-40.8,41937,1.9955408573150635,-40.8,37095,1.784233808517456
91,-34.2,823691,40.929606914520264,-36.6,409634,24.43867588043213,-36.6,369358,22.67537808418274
92,-46.1,5758,0.23479461669921875,-46.1,4755,0.21838760375976562,-46.1,4322,0.21520614624023438
93,-31.5,43095,1.7271039485931396,-31.5,29824,1.411766767501831,-31.5,26580,1.3110783100128174
94,-38.0,86428,6.197365760803223,-38.0,58432,4.863214731216431,-38.0,46584,4.441657781600952
95,-48.5,37370,1.3387763500213623,-48.5,23972,1.0868055820465088,-48.5,21431,1.007561445236206
96,-36.7,175357,13.61557936668396,-36.7,93346,8.700229406356812,-36.7,87803,8.428449392318726
97,-22.6,96674,6.575168132781982,-22.6,50974,4.503302574157715,-22.6,47401,4.293013334274292
98,-43.7,7845,0.4759175777435303,-43.7,5740,0.4315650463104248,-44.0,5283,0.38913583755493164
99,-18.3,634883,32.124900579452515,-18.3,320135,19.203360557556152,-18.3,306604,18.72926163673401
